date,aircraft_registration,aircraft_type,type_of_occurance,place_of_occurance,status,report,report_link,geocode,latitude,longitude,formatted_address
2016-01-27,RP-C8862,Cessna 152,Runway excursion during taxi,"Lingayen Airport, Lingayen, Pangasinan",On-going,Interim Report,http://www.caap.gov.ph?download=7992,"{'address_components': [{'long_name': 'Lingayen Airport', 'short_name': 'Lingayen Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': '689', 'short_name': '689', 'types': ['street_number']}, {'long_name': 'Castillo Street', 'short_name': 'Castillo St', 'types': ['route']}, {'long_name': 'Lingayen', 'short_name': 'Lingayen', 'types': ['locality', 'political']}, {'long_name': 'Pangasinan', 'short_name': 'Pangasinan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2401', 'short_name': '2401', 'types': ['postal_code']}], 'formatted_address': 'Lingayen Airport, 689 Castillo St, Lingayen, 2401 Pangasinan, Philippines', 'geometry': {'location': {'lat': 16.0340804, 'lng': 120.2408358}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 16.0354293802915, 'lng': 120.2421847802915}, 'southwest': {'lat': 16.0327314197085, 'lng': 120.2394868197085}}}, 'place_id': 'ChIJx0IK-3JekTMRLmqP7PJEqf4', 'plus_code': {'compound_code': '26MR+J8 Lingayen, Pangasinan, Philippines', 'global_code': '7Q8226MR+J8'}, 'types': ['airport', 'establishment', 'point_of_interest']}",16.0340804,120.2408358,"Lingayen Airport, 689 Castillo St, Lingayen, 2401 Pangasinan, Philippines"
2016-01-12,RP-C8759,Turbo Thrush S2RT,Runway excursion during landing,"Hijo Plantation Airstrip, Brgy. Madaum, Tagum City, Davao del Norte",On-going,Interim Report,http://www.caap.gov.ph?download=7995,"{'address_components': [{'long_name': 'Madaum', 'short_name': 'Madaum', 'types': ['route']}, {'long_name': 'Tagum', 'short_name': 'Tagum', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '8100', 'short_name': '8100', 'types': ['postal_code']}], 'formatted_address': 'Madaum, Tagum, 8100 Davao del Norte, Philippines', 'geometry': {'location': {'lat': 7.361174099999999, 'lng': 125.8073368}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 7.362523080291502, 'lng': 125.8086857802915}, 'southwest': {'lat': 7.359825119708497, 'lng': 125.8059878197085}}}, 'place_id': 'ChIJq6qqqlpR-TIR9uaNfJX4Q8Y', 'plus_code': {'compound_code': '9R64+FW Tagum, Davao del Norte, Philippines', 'global_code': '6QV79R64+FW'}, 'types': ['establishment', 'lodging', 'point_of_interest']}",7.361174099999999,125.8073368,"Madaum, Tagum, 8100 Davao del Norte, Philippines"
2015-09-09,RP-C3278,Airbus A320-214,Collision with parked aircraft while on taxi,Kalibo International Airport,On-going,Interim Report,http://www.caap.gov.ph?download=8041,"{'address_components': [{'long_name': 'Kalibo International Airport', 'short_name': 'Kalibo International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Kalibo International Airport Access Road', 'short_name': 'Kalibo International Airport Access Road', 'types': ['route']}, {'long_name': 'Kalibo', 'short_name': 'Kalibo', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5600', 'short_name': '5600', 'types': ['postal_code']}], 'formatted_address': 'Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines', 'geometry': {'location': {'lat': 11.6859324, 'lng': 122.3808504}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.6872813802915, 'lng': 122.3821993802915}, 'southwest': {'lat': 11.6845834197085, 'lng': 122.3795014197085}}}, 'place_id': 'ChIJiSeRGWudpTMRpfVW8G1UMVc', 'plus_code': {'compound_code': 'M9PJ+98 Kalibo, Aklan, Philippines', 'global_code': '7Q34M9PJ+98'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.6859324,122.3808504,"Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines"
2015-06-11,RP-C9002,Cessna 150M,Nose wheel flat tire during landing,Davao International Airport,On-going,Interim Report,http://www.caap.gov.ph?download=8044,"{'address_components': [{'long_name': 'Francisco Bangoy International Airport', 'short_name': 'Francisco Bangoy International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Daang Maharlika Highway', 'short_name': 'Daang Maharlika Highway', 'types': ['route']}, {'long_name': 'Buhangin', 'short_name': 'Buhangin', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Davao City', 'short_name': 'Davao City', 'types': ['locality', 'political']}, {'long_name': 'Davao del Sur', 'short_name': 'Davao del Sur', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '8000', 'short_name': '8000', 'types': ['postal_code']}], 'formatted_address': 'Francisco Bangoy International Airport, Daang Maharlika Highway, Buhangin, Davao City, 8000 Davao del Sur, Philippines', 'geometry': {'location': {'lat': 7.1304037, 'lng': 125.6455236}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 7.131752680291502, 'lng': 125.6468725802915}, 'southwest': {'lat': 7.129054719708497, 'lng': 125.6441746197085}}}, 'place_id': 'ChIJUds7WgZs-TIR9-6t9Gx25g4', 'plus_code': {'compound_code': '4JJW+56 Davao City, Davao del Sur, Philippines', 'global_code': '6QV74JJW+56'}, 'types': ['airport', 'establishment', 'point_of_interest']}",7.1304037,125.6455236,"Francisco Bangoy International Airport, Daang Maharlika Highway, Buhangin, Davao City, 8000 Davao del Sur, Philippines"
2015-04-18,RP-C3025,Cessna 182,Undershot Landing,"Bantayan National Airport, Bantayan Island, Cebu",Completed,Summary,http://www.caap.gov.ph?download=4377,"{'address_components': [{'long_name': 'Santa Fe Airport', 'short_name': 'Santa Fe Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'National Road', 'short_name': 'National Road', 'types': ['route']}, {'long_name': 'Santa Fe', 'short_name': 'Santa Fe', 'types': ['locality', 'political']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6047', 'short_name': '6047', 'types': ['postal_code']}], 'formatted_address': 'Santa Fe Airport, National Road, Santa Fe, 6047 Cebu, Philippines', 'geometry': {'location': {'lat': 11.156807, 'lng': 123.7876474}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.1581559802915, 'lng': 123.7889963802915}, 'southwest': {'lat': 11.1554580197085, 'lng': 123.7862984197085}}}, 'place_id': 'ChIJ5Vf6hgiIqDMRZNnW8qVSMk4', 'plus_code': {'compound_code': '5Q4Q+P3 Santa Fe, Cebu, Philippines', 'global_code': '7Q355Q4Q+P3'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.156807,123.7876474,"Santa Fe Airport, National Road, Santa Fe, 6047 Cebu, Philippines"
2015-01-09,RP-C8994,Airbus 320-232,Emergency Descent,20 NM before top of descent or over Lubang Mindoro approximately 70 NM to Manila,Completed,Summary,http://www.caap.gov.ph?download=4374,"{'address_components': [{'long_name': 'Lubang', 'short_name': 'Lubang', 'types': ['locality', 'political']}, {'long_name': 'Occidental Mindoro', 'short_name': 'Occidental Mindoro', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Lubang, Occidental Mindoro, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 13.9017426, 'lng': 120.2177239}, 'southwest': {'lat': 13.7324649, 'lng': 120.0153351}}, 'location': {'lat': 13.7976866, 'lng': 120.1358346}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 13.9017426, 'lng': 120.2177239}, 'southwest': {'lat': 13.7324649, 'lng': 120.0153351}}}, 'partial_match': True, 'place_id': 'ChIJbeZ_xyt_vjMRVXoqKHDQ57M', 'types': ['locality', 'political']}",13.7976866,120.1358346,"Lubang, Occidental Mindoro, Philippines"
2014-12-17,N888VS,Gulfstream Aerospace Corporation GV-SP (G550),Aircraft wingtip contact with parked helicopters,"South General Aviation Taxiway, General Aviation Area, Pasay City",Completed,Summary,http://www.caap.gov.ph?download=3155,"{'address_components': [{'long_name': 'Domestic Road', 'short_name': 'Domestic Rd', 'types': ['route']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Domestic Rd, Pasay, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5203477, 'lng': 121.0032409}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5216966802915, 'lng': 121.0045898802915}, 'southwest': {'lat': 14.5189987197085, 'lng': 121.0018919197085}}}, 'partial_match': True, 'place_id': 'ChIJt234bprPlzMRIHOD2lP1cdc', 'plus_code': {'compound_code': 'G2C3+47 Pasay, Metro Manila, Philippines', 'global_code': '7Q63G2C3+47'}, 'types': ['establishment', 'point_of_interest']}",14.5203477,121.0032409,"Domestic Rd, Pasay, Metro Manila, Philippines"
2014-08-13,RP-C8078,Cessna 172L,Tire Flat Spot during landing,"Subic Bay International Airport, Subic Bay, Olongapo City",Completed,Summary,http://www.caap.gov.ph?download=3158,"{'address_components': [{'long_name': 'Naval Air Station Cubi Point', 'short_name': 'Naval Air Station Cubi Point', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Subic Bay Freeport Zone', 'short_name': 'Subic Bay Freeport Zone', 'types': ['locality', 'political']}, {'long_name': 'Bataan', 'short_name': 'Bataan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines', 'geometry': {'location': {'lat': 14.795372, 'lng': 120.2827303}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7967209802915, 'lng': 120.2840792802915}, 'southwest': {'lat': 14.7940230197085, 'lng': 120.2813813197085}}}, 'place_id': 'ChIJQYCC--BzljMRf1VEGznl3B0', 'plus_code': {'compound_code': 'Q7WM+43 Subic Bay Freeport Zone, Philippines', 'global_code': '7Q62Q7WM+43'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.795372,120.2827303,"Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines"
2014-08-09,RP-C8993,Airbus 320,Pre-emptive Descent due to dual Bleed Air Fault,190 Nautical Miles to Manila,Completed,Summary,http://www.caap.gov.ph?download=3161,"{'address_components': [{'long_name': 'Manila', 'short_name': 'Manila', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Manila, Metro Manila, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 14.6390175, 'lng': 121.0261686}, 'southwest': {'lat': 14.5539791, 'lng': 120.932951}}, 'location': {'lat': 14.5995124, 'lng': 120.9842195}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 14.6390175, 'lng': 121.0261686}, 'southwest': {'lat': 14.5539791, 'lng': 120.932951}}}, 'partial_match': True, 'place_id': 'ChIJi8MeVwPKlzMRH8FpEHXV0Wk', 'types': ['locality', 'political']}",14.5995124,120.9842195,"Manila, Metro Manila, Philippines"
2014-08-05,HZ-AIX,Boeing 747- 468,Taxiway Excursion,Ninoy Aquino International Airport (RPLL) Manila Philippines,Completed,Summary,http://www.caap.gov.ph?download=3164,"{'address_components': [{'long_name': 'Ninoy Aquino International Airport', 'short_name': 'NAIA', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1300', 'short_name': '1300', 'types': ['postal_code']}], 'formatted_address': 'Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5122739, 'lng': 121.016508}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5136228802915, 'lng': 121.0178569802915}, 'southwest': {'lat': 14.5109249197085, 'lng': 121.0151590197085}}}, 'place_id': 'ChIJd0270sXOlzMREUQRimL6JIo', 'plus_code': {'compound_code': 'G268+WJ Pasay, Metro Manila, Philippines', 'global_code': '7Q63G268+WJ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5122739,121.016508,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines"
